# w_larmor A_perp
942289 2506.37
941791 1637.3
942370 3154.04
941852 2388.41
941680 1057.15
941883 1963.87
942248 4271.05
941013 755.676
941888 2170.05
943225 4897.37
943125 3153.41
943055 3530.16
941147 398.543
943551 3495.92
942861 6319.46
941830 2232.09
941764 1721.77
942834 3552.58
943679 4756.82
941516 1198.4
941653 8413.17
939768 3176.89
942140 2540.66
941205 4803.74
939425 6426.41
942927 4789.16
940433 905.217
942449 2731.56
941697 3055.84
941030 5192.4
941175 2647.18
941146 3851.06
943686 3067.65
939449 1489.52
940719 1574.3
941392 419.807
942296 2685.88
936755 3.15058e-12
942618 4115.45
941592 6651.8
940380 5403.65
941010 2272.14
942867 3665.03
942633 4907.37
940600 4527.85
940557 623.597
939132 1692.42
939600 1036.82
945461 2366.04
941868 3161.45
942376 6097.73
943902 6280.88
947236 17188.8
945690 28406.3
941456 6684.77
942431 4140.51
942657 2846.73
944686 2115.54
939026 7786.69
945597 6825.63
942285 5407.6
945598 4437.33
941092 1168.78
941124 1836.37
950181 4065.78
931494 10506.9
955780 13888.4
948420 6541.87
943911 6587.21
941480 4208.95
940313 5686.72
951372 10852.5
942200 17900.4
943995 4620.89
943044 3095.63
941562 433.122
941053 2698.78
935437 39983.4
945196 1634.4
870616 78847.5
940126 803.139
947227 13618.3
941065 15329.1
945315 1357.61
943955 12139
979200 81692.6
944192 3109.91
943926 2484.8
943287 7767.49
941630 7.87646e-13
940821 3741.84
943176 22670.6
942441 131129
934552 120196
941913 3399.84
944534 4315.26
943294 6186.43
941357 2381.26
944243 17089.4
941730 1401.86
941806 5282.34
946763 4972.29
962190 68225.8
899353 76581.7
948240 11266.9
944431 4264.61
942341 2794.14
942652 3700.07
940818 2396.3
939779 4682.34
942588 8097.43
944070 4520.86
994919 161155
943270 6121.39
942931 5095.78
939388 16649.5
935280 1115.5
945345 7014.42
943255 8176.4
940897 658.777
941422 1991.08
942953 3575.03
941575 698.728
944059 2392.81
947142 7571.4
952045 7689.69
968127 13722
945143 1999.25
946188 2692.83
943255 4158.69
940358 5495.62
945502 10006.1
943259 3997.31
944533 1767.95
951816 6557.62
940611 7287.94
944958 2835.46
943656 4720.63
948064 36944.4
944382 13203.2
952196 22784.7
942867 3665.03
942331 2646.69
942389 11264.5
945459 4724.26
944865 3828.16
941489 376.253
941661 302.388
941998 5291.08
940347 2012.84
943813 22689.3
941458 4424.63
942633 4907.37
943661 5591.03
944319 6074.66
943359 5215.74
917025 25842.4
942803 4627.85
943106 72703.9
944211 2492.36
938823 8533.76
947841 2145.75
943029 4371.72
941818 5861.98
943893 5503.1
944022 2937.51
929498 2420.74
944500 2548.95
948838 28214.9
940060 4004.19
947359 2625.39
941414 4908.67
942582 2862.19
942268 8036.12
942826 4716.41
949151 9031.23
941667 3288.68
941338 3015.02
935593 4357.1
940607 12661.7
943458 4566.54
944900 4652.82
943176 22670.6
941222 21852.5
946434 3993.66
940834 690.875
943617 3577.32
941062 2166
938873 1863.84
942229 4880.45
941986 5041.59
937021 3203.46
942410 3524.25
941702 14464.8
941782 2879.41
944908 2075.44
940607 1703.04
942518 2957.96
943380 5263.4
944397 2582.68
944885 2875.39
941443 820.224
942155 4979.01
942592 5117.65
943770 3248.75
942135 3144.86
944587 6373.73
941013 1430.31
942831 6675.6
944721 4389.22
941335 7.87646e-13
941050 1967.83
941554 347.887
942085 3116.29
942709 3269.56
943179 5870.36
940641 792.301
942285 5407.6
941933 2483.46
942715 3294.53
940881 2276.93
941603 1180.47
941498 468.363
941571 1115.26
941576 2149.39
941682 862.29
942800 2933.71
942745 1590.23
942141 247.437
942046 356.002
942177 853.207
942466 1752.07
942843 1810.46
942824 1761.28
942660 1897.73
941992 1.96911e-13
942009 1111.62
942377 1455.36
941990 608.633
942088 139.218
943052 1772.3
943093 1506.26
942393 2068.98
942099 603.028
942214 998.649
942647 1740.44
942259 1148.3
941875 1385.86
942592 2516.7
942132 124.671
942863 2229.39
942441 1222.8
942472 1580.78
943147 1898.48
943195 1601.26
942213 1315.49
941769 5.08423e-13
942540 1544.8
942130 395.246
942263 870.189
943145 1740.3
942452 1559.82
942203 964.399
942077 291.672
941915 846.114
943043 1573.73
942456 1283.26
942020 3.93823e-13
943427 1088.16
943234 1413.34
942824 1538.34
942550 2458.95
942143 1322.54
942063 147.876
942323 1177.17
942294 1031.24
942001 765.476
941916 1645.2
942537 2591.31
942647 1567.74
942159 1243.22
941900 947.837
943602 973.579
943841 1687.15
944005 1302.83
941972 816.361
943370 1148.6
941998 1141.82
942032 971.634
943239 1835.46
943642 1458.67
944144 2051.45
941843 737.728
942937 2716.07
942768 2817.21
941995 128.659
942927 1822.85
943651 1259.99
941902 154.335
943904 321.912
942577 1566.08
941989 503.923
944414 189.095
942953 2208.61
942993 2459.79
942953 2208.61
943038 2746.55
