# w_larmor A_perp
942978 2505.45
943475 1635.84
942897 3153.15
943415 2386.43
943586 1056.09
943383 1962.31
943022 4269.28
944252 754.38
943379 2168.34
942046 4900.42
942143 3155.05
942214 3531.73
944118 397.916
941717 3499.31
942415 6320.92
943436 2230.19
943502 1720.18
942434 3553.33
941592 4762.07
943750 1196.98
943631 8404.27
945500 3167.25
943127 2539.33
944066 4796.44
945852 6404.54
942345 4790.63
944832 903.11
942818 2731.02
943570 3052.8
944242 5183.55
944092 2643.09
944123 3844.98
941581 3071.08
945817 1484.51
944547 1571.11
943873 419.255
942971 2684.92
948510 3.15058e-12
942652 4115.37
943685 6644.38
944893 5390.72
944257 2268.23
942402 3665.93
942638 4907.34
944670 4518.09
944708 622.227
946134 1686.16
945665 1033.5
939806 2373.16
943400 3158.88
942899 6096.01
941373 6289.28
938108 17271.7
939789 28492.3
943821 6676.35
942838 4139.61
942610 2846.8
940581 2120.15
946256 7756.88
939680 6847.07
942988 5405.56
939672 4451.31
944174 1166.87
944142 1833.43
935088 4098.58
953801 10383.8
929536 14084.1
936856 6582.21
941365 6596.08
943790 4203.79
944961 5672.71
933925 10953.7
943150 17890.6
941276 4627.55
942224 3096.98
943703 432.63
944215 2694.26
950252 39662.8
940070 1638.85
1.01631e+06 73131.7
945139 801.009
938087 13684.3
944262 15302.7
939951 1361.48
941350 12155.6
907837 84823.8
941076 3115.05
941341 2488.21
941994 7772.75
943636 0
944448 3734.64
942226 22680.4
947379 130472
954542 118697
943356 3397.24
940736 4323.96
941981 6190.7
943910 2378.03
941100 17117.2
943536 1400.52
943467 5277.67
938509 4994.14
924310 69578.3
987470 73104.4
937059 11333.9
940839 4272.74
942926 2793.27
942617 3700.13
944449 2391.69
945492 4668.18
942694 8096.9
941201 4527.74
897240 169308
942006 6125.47
942341 5097.36
945951 16591.1
949985 1106.86
939933 7034.56
942028 8181.65
944369 657.566
943845 1988.53
942315 3576.23
943690 697.945
941208 2396.43
938138 7607.68
933236 7767.12
917188 14102.7
940123 2004.59
939079 2703.02
942015 4161.42
944915 5482.34
939789 10036.4
942010 3999.95
940733 1771.52
933461 6622.05
944669 7272.23
940309 2842.47
941615 4725.74
937564 37144.1
940929 13227.1
933207 23014.8
942402 3665.93
942936 2645.84
942910 11261.2
939812 4738.44
940404 3837.24
943776 375.797
943604 302.077
943275 5287.48
944920 2007.97
941588 22714.5
943813 4419.1
942638 4907.34
941612 5597.09
940956 6085.48
941913 5219.72
968418 25154.3
942468 4628.66
943560 72632.5
941056 2496.53
946461 8499.24
937425 2157.67
942241 4373.53
943456 5856.86
941380 5510.42
941245 2941.84
955769 2387.47
940767 2554.01
936638 28395.5
945209 3993.28
937908 2638.62
943858 4902.3
942685 2862.03
943015 8032.86
942445 4717.35
936136 9093.9
943601 3285.31
943930 3010.87
949677 4324.78
944700 12634
941813 4570.52
940371 4664.01
942226 22680.4
944170 21816.9
938836 4009.81
944431 689.559
941652 3581.04
944204 2162.39
946393 1856.43
943043 4878.33
943286 5038.1
948247 3184.5
942859 3523.41
943618 14449.7
943486 2876.81
940358 2080.46
944659 1699.39
942749 2957.6
941892 5267.54
940870 2587.52
940382 2882.27
943822 819.191
943117 4976.45
942680 5117.4
941498 3252.67
943133 3143.19
940689 6386.89
944252 1427.86
942446 6676.92
940549 4398.94
943931 3.93823e-13
944217 1964.53
943711 347.49
943183 3114.47
942559 3269.82
942095 5873.71
944624 790.63
942988 5405.56
943334 2481.61
942553 3294.81
944386 2272.71
943663 1179.18
943768 467.799
943694 1114.01
943690 2146.98
943583 861.421
942467 2934.22
942521 1590.42
943124 247.308
943219 355.781
943089 852.794
942800 1751.76
942423 1810.87
942442 1761.64
942606 1897.78
943273 1.96911e-13
943257 1110.88
942888 1454.97
943275 608.218
943177 139.137
942214 1773.09
942173 1506.99
942874 2068.45
943167 602.686
943052 998.205
942619 1740.46
943007 1147.85
943390 1384.75
942675 2516.59
943134 124.605
942403 2229.93
942825 1222.55
942794 1580.51
942119 1899.51
942071 1602.21
943053 1314.9
943496 5.08423e-13
942726 1544.64
943135 395.035
943003 869.847
942121 1741.25
942813 1559.52
943062 963.96
943188 291.501
943350 845.47
942222 1574.42
942809 1283.02
943246 1.96911e-13
941838 1089.08
942031 1414.24
942442 1538.65
942717 2458.73
943122 1321.85
943202 147.787
942942 1176.78
942971 1030.87
943264 764.964
943350 1643.95
942730 2591.05
942618 1567.76
943106 1242.59
943365 947.101
941663 974.582
941425 1689.32
941261 1304.73
943293 815.789
941896 1149.5
943268 1141.06
943234 971.015
942027 1836.64
941624 1460.23
941122 2054.75
943422 737.11
942330 2716.94
942500 2817.61
943270 128.572
942339 1823.42
941615 1261.36
943363 154.216
941361 322.347
942689 1565.98
943277 503.579
940851 189.453
942313 2209.35
942274 2460.72
942313 2209.35
942229 2747.72
943169 818.35
942579 2504.91
943205 1611.99
942929 1213.83
942820 1411.35
941036 777.771
940729 764.547
942512 1619.17
942400 2327.82
941804 1755.52
941738 2319.69
942019 1339.3
943353 1656.74
942997 1632.86
943302 426.217
941942 1691.99
942076 1597.74
943396 218.778
942224 2103.43
941679 2436.9
943463 183.021
943315 1512.57
941760 886.948
941638 949.186
941112 1599.26
942164 1952.93
942259 1754.63
943224 1413.97
941422 1440.87
941783 1269.47
942361 2027.41
941865 1143.42
941628 2642.8
943122 1321.85
941949 2082.92
942495 2836.58
943103 896.252
943136 694.009
941672 1471.56
941771 2702.61
942409 1844.71
943137 256.364
943027 1158.35
941634 1791.32
942246 2925.3
943440 296.145
943011 1173.38
942590 1693.06
942888 1628.43
941747 2725.9
943477 1067.31
943082 1042.17
941963 2133.01
943200 1211.16
943135 993.752
941546 538.227
941641 475.248
943190 805.748
942679 1517.92
942496 1496.99
942291 1519.16
942149 1490.68
942057 2605.05
941537 512.111
942868 1220.36
941670 1043.87
942045 2045.86
941710 1361.11
941601 334.588
942500 2817.61
942646 2674.31
941617 399.221
943409 1439.01
942463 1831.37
941038 962.001
942799 1507.02
941438 1532.07
942768 2080.46
943009 1293.18
943411 794.869
941461 2549.77
942721 2645.86
941489 917.332
941679 2436.9
942685 1481.93
943101 1117.02
942643 1622.92
943155 1494.86
941468 2454.67
942934 1095.35
942989 1037.23
943538 68.1613
941693 2348.7
942888 2319.66
943029 906.884
943208 1818.88
942082 2565.48
943047 1276.65
942960 1384.84
942884 1248.54
943207 149.446
942625 2295.06
943101 826.956
942216 1672.56
942946 1073.1
942940 1158.59
942928 1047.38
943366 730.741
942742 2287.28
943408 167.122
943257 952.955
942886 1768.82
943581 292.687
942232 1479.59
943112 404.998
943046 782.81
943366 424.516
943353 1656.74
942579 2504.91
942400 2327.82
943474 804.931
943100 499.594
943221 315.438
943234 368.397
943180 1056.38
942715 1929.03
942377 1988.42
943027 1158.35
943202 301.414
942813 1567.95
942621 1553.05
942375 1546.8
943192 256.169
943128 217.259
942824 1252.31
