# cluster coupling factor (Hz): 62.9562
# f_DD: 0.06
# scan time: 0.001

# w_scan coherence
858185 0.996605
858483 0.995827
858782 0.994125
859080 0.991497
859378 0.988023
859677 0.983865
859975 0.979262
860273 0.974518
860572 0.969982
860870 0.966522
861168 0.963297
861467 0.961276
861765 0.960689
862063 0.961699
862362 0.964313
862660 0.968391
862958 0.973629
863257 0.979555
863555 0.985538
863853 0.990818
864152 0.99451
864450 0.995682
864748 0.993372
865047 0.986665
865345 0.974735
865643 0.956923
865942 0.932773
866240 0.902094
866538 0.864987
866837 0.821871
867135 0.775147
867433 0.721894
867732 0.665499
868030 0.607504
868328 0.549642
868627 0.493714
868925 0.441562
869223 0.394873
869522 0.355341
869820 0.324184
870118 0.302573
870417 0.29127
870715 0.290514
871013 0.300466
871312 0.320652
871610 0.350379
871908 0.388595
872206 0.433949
872505 0.484927
872803 0.539785
873101 0.596729
873400 0.65384
873698 0.710858
873996 0.764809
874295 0.814317
874593 0.858337
874891 0.896133
875190 0.927313
875488 0.951818
875786 0.969883
876085 0.982014
876383 0.988913
876681 0.991433
876980 0.990507
877278 0.987091
877576 0.982112
877875 0.976416
878173 0.970749
878471 0.965684
878770 0.961695
879068 0.959032
879366 0.957821
879665 0.957658
879963 0.959786
880261 0.962931
880560 0.966732
880858 0.970826
881156 0.974859
881455 0.978524
881753 0.981587
882051 0.983892
882350 0.985375
882648 0.986057
882946 0.986029
883245 0.98544
883543 0.984474
883841 0.983327
884140 0.982186
884438 0.981213
884736 0.980526
885035 0.980199
885333 0.980236
885631 0.980602
885930 0.980729
886228 0.981974
886526 0.983161
886824 0.98408
887123 0.984541
887421 0.984384
887719 0.983513
888018 0.981901
888316 0.979594
888614 0.976728
888913 0.973502
889211 0.970182
889509 0.967063
889808 0.964454
890106 0.962642
890404 0.961862
890703 0.962271
891001 0.963921
891299 0.966734
891598 0.970506
891896 0.974885
892194 0.979393
892493 0.983097
892791 0.986626
893089 0.988243
893388 0.987113
893686 0.982421
893984 0.973423
894283 0.959481
894581 0.940128
894879 0.915088
895178 0.884331
895476 0.848081
895774 0.80684
896073 0.761382
896371 0.712737
896669 0.662175
896968 0.611116
897266 0.561138
897564 0.513831
897863 0.470765
898161 0.433419
898459 0.403064
898758 0.373677
899056 0.359937
899354 0.355662
899653 0.361002
899951 0.375709
900249 0.399271
900547 0.430842
900846 0.469332
901144 0.513462
901442 0.561779
901741 0.612747
902039 0.664788
902337 0.716348
902636 0.76596
902934 0.812281
903232 0.854202
903531 0.89081
903829 0.921526
904127 0.946034
904426 0.964349
904724 0.976766
905022 0.985372
905321 0.987682
905619 0.986226
905917 0.981993
906216 0.975987
906514 0.96917
906812 0.962409
907111 0.956427
907409 0.951786
907707 0.948858
908006 0.947829
908304 0.948703
908602 0.951309
908901 0.955345
909199 0.960384
909497 0.965936
909796 0.971472
910094 0.97648
910392 0.980501
910691 0.983168
910989 0.984233
911287 0.985031
911586 0.982833
911884 0.978969
912182 0.973688
912481 0.967321
912779 0.960254
913077 0.952884
913376 0.945579
913674 0.938677
913972 0.932412
914271 0.92697
914569 0.922417
914867 0.918752
915165 0.915898
915464 0.913703
915762 0.912018
916060 0.910619
916359 0.909371
916657 0.908096
916955 0.906739
917254 0.905266
917552 0.904214
917850 0.903092
918149 0.90214
918447 0.901623
918745 0.901754
919044 0.902852
919342 0.905107
919640 0.908714
919939 0.913752
920237 0.920174
920535 0.927835
920834 0.93642
921132 0.945502
921430 0.954527
921729 0.962858
922027 0.969815
922325 0.974738
922624 0.977049
922922 0.976328
923220 0.972371
923519 0.965239
923817 0.957454
924115 0.945652
924414 0.932265
924712 0.918286
925010 0.904802
925309 0.89291
925607 0.883602
925905 0.87771
926204 0.875789
926502 0.878116
926800 0.884591
927099 0.89475
927397 0.907699
927695 0.92212
927994 0.936263
928292 0.947977
928590 0.954809
928889 0.954115
929187 0.943342
929485 0.92019
929783 0.883057
930082 0.835804
930380 0.770325
930678 0.691413
930977 0.601618
931275 0.504396
931573 0.403755
931872 0.303812
932170 0.208357
932468 0.120536
932767 0.042653
933065 -0.0238229
933363 -0.0781492
933662 -0.120067
933960 -0.149554
934258 -0.166599
