# cluster coupling factor (Hz): 116.621
# f_DD: 0.06
# scan time: 0.001

# w_scan coherence
885334 0.984625
885619 0.975341
885905 0.963001
886191 0.952172
886477 0.935557
886762 0.917714
887048 0.899713
887334 0.882728
887620 0.867954
887906 0.856526
888191 0.849424
888477 0.847383
888763 0.850808
889049 0.85971
889334 0.873654
889620 0.891743
889906 0.912624
890192 0.93453
890477 0.955353
890763 0.972739
891049 0.984204
891335 0.987257
891620 0.979531
891906 0.958911
892192 0.923643
892478 0.879749
892763 0.813088
893049 0.729267
893335 0.628845
893621 0.513144
893907 0.38426
894192 0.245049
894478 0.0990607
894764 -0.0495686
895050 -0.196268
895335 -0.336238
895621 -0.464683
895907 -0.577075
896193 -0.669406
896478 -0.73842
896764 -0.781796
897050 -0.798264
897336 -0.787634
897621 -0.75075
897907 -0.689372
898193 -0.606009
898479 -0.503726
898764 -0.387702
899050 -0.255719
899336 -0.11571
899622 0.0284626
899907 0.172999
900193 0.314196
900479 0.448475
900765 0.572446
901051 0.68299
901336 0.77738
901622 0.853435
901908 0.909664
902194 0.945399
902479 0.960875
902765 0.957241
903051 0.936482
903337 0.901272
903622 0.854741
903908 0.800215
904194 0.740946
904480 0.679876
904765 0.619463
905051 0.55832
905337 0.504359
905623 0.455054
905908 0.410874
906194 0.372145
906480 0.339189
906766 0.312422
907051 0.292386
907337 0.279705
907623 0.275
907909 0.278768
908195 0.291259
908480 0.312375
908766 0.341616
909052 0.37807
909338 0.420464
909623 0.467255
909909 0.516757
910195 0.567269
910481 0.617208
910766 0.665207
911052 0.710179
911338 0.75097
911624 0.788676
911909 0.821843
912195 0.85039
912481 0.874372
912767 0.893933
913052 0.909289
913338 0.920711
913624 0.928533
913910 0.933154
914196 0.935038
914481 0.934711
914767 0.932737
915053 0.929698
915339 0.926151
915624 0.922603
915910 0.91947
916196 0.91706
916482 0.915552
916767 0.914991
917053 0.915289
917339 0.916237
917625 0.916016
917910 0.918043
918196 0.919543
918482 0.919915
918768 0.918532
919053 0.91477
919339 0.90804
919625 0.897834
919911 0.883756
920196 0.865573
920482 0.843239
920768 0.816932
921054 0.787055
921340 0.754239
921625 0.719321
921911 0.683301
922197 0.647297
922483 0.612482
922768 0.580022
923054 0.551016
923340 0.526441
923626 0.507109
923911 0.487722
924197 0.480636
924483 0.480156
924769 0.486242
925054 0.498641
925340 0.516911
925626 0.540433
925912 0.56844
926197 0.600039
926483 0.634238
926769 0.669975
927055 0.706152
927340 0.741674
927626 0.775488
927912 0.806623
928198 0.834236
928484 0.857645
928769 0.87636
929055 0.890103
929341 0.89882
929627 0.90267
929912 0.901953
930198 0.897429
930484 0.889567
930770 0.879069
931055 0.866667
931341 0.853068
931627 0.838916
931913 0.824751
932198 0.810986
932484 0.797894
932770 0.785598
933056 0.774086
933341 0.763224
933627 0.752779
933913 0.74245
934199 0.731898
934485 0.720778
934770 0.708771
935056 0.69561
935342 0.681102
935628 0.665152
935913 0.647769
936199 0.627364
936485 0.607753
936771 0.587315
937056 0.566389
937342 0.545346
937628 0.524558
937914 0.504354
938199 0.48499
938485 0.466615
938771 0.449256
939057 0.432812
939342 0.417062
939628 0.401698
939914 0.386359
940200 0.370684
940485 0.354362
940771 0.337186
941057 0.319084
941343 0.300135
941629 0.280564
941914 0.260708
942200 0.240957
942486 0.218865
942772 0.20053
943057 0.183088
943343 0.166401
943629 0.150064
943915 0.133414
944200 0.115587
944486 0.0956014
944772 0.0724957
945058 0.0454758
945343 0.0140851
945629 -0.0216285
945915 -0.0609612
946201 -0.102441
946486 -0.143784
946772 -0.181958
947058 -0.213386
947344 -0.234299
947629 -0.241227
947915 -0.231555
948201 -0.204037
948487 -0.159159
948773 -0.104498
949058 -0.0320695
949344 0.0462785
949630 0.124552
949916 0.196802
950201 0.25773
950487 0.303156
950773 0.330297
951059 0.337881
951344 0.326109
951630 0.296523
951916 0.2518
952202 0.195511
952487 0.131839
952773 0.0652867
953059 0.000360525
953345 -0.0587287
953630 -0.108341
953916 -0.145617
954202 -0.168603
954488 -0.176274
954773 -0.168449
955059 -0.154692
955345 -0.11721
955631 -0.0669461
955917 -0.0054943
956202 0.0654262
956488 0.14399
956774 0.228253
957060 0.316141
957345 0.405459
957631 0.493933
957917 0.579298
958203 0.659402
958488 0.732324
958774 0.79649
959060 0.850759
959346 0.894484
959631 0.927533
959917 0.950272
960203 0.963517
